id,method,factors,nobs,bias_withC_L2,bias_withC_L6,bias_withC_La,bias_withC_L8,bias_withC_L12,bias_withC_Ti8.b,bias_withC_Ti12.b,bias_withC_C1,bias_withC_Errvar2,bias_withC_Errvar6
1,DWLS,2,200,-5.969577203074006,-0.13997325164832874,-38.212496520339506,3.4849616659554936,7.585354995489347,8.78448378958718,15.096921549677699,-7.372591901074663,18.024809923050004,-18.909449523648902
2,DWLS,2,200,-13.006591373811382,-3.472529931152657,11.746051982326492,-15.434955414004637,-4.894203932280498,7.52698620998299,13.8304207961405,-11.317131684117337,7.2848140203152845,-11.55709013377266
3,DWLS,2,200,-1.2455705406185098,-4.750847830060172,45.01044492897599,4.751050152855499,11.060006547756666,-7.52698620998299,-1.2533469508069301,4.281547127001999,17.39600388584333,-22.851598115164062
4,DWLS,2,200,9.012878879396863,13.183091280728663,19.033507991900997,0.14526570235599834,-3.7152353245604917,-1.2533469508069301,3.76082876612559,31.188845822481014,6.986957637745567,-23.413786348895158
5,DWLS,2,200,20.35236517298837,-22.517985863850168,26.473382844825004,4.061605805643367,6.0621538010480025,3.76082876612559,-2.50689082587111,81.30708598834234,0.32113706922084423,-4.475839527887347
6,DWLS,2,200,5.240431716006494,6.707280454189002,5.342516677234996,-0.42522406150012626,3.519887622065343,-7.52698620998299,-5.01535834647335,12.87662149802201,-10.650040413349437,-15.425672114242495
7,DWLS,2,200,0.5229114979388716,7.947446476970507,13.205727828027994,-19.893197134619637,4.778844886892841,3.76082876612559,1.2533469508069301,-42.61943825484833,-10.331094068590277,-16.015584968229692
8,DWLS,2,200,4.379908444278491,-10.038333571089002,11.718052131991493,3.3431298127622466,-2.3144500565728254,-2.50689082587111,-7.52698620998299,31.219754879149004,-32.17261009440277,-26.85112396002219
9,DWLS,2,200,-8.766979727320253,12.642054074249842,13.664124798852498,11.067553728035126,1.3457975378100007,-12.566134685507398,1.2533469508069301,-30.320637464457327,36.87389825689362,-23.876839879535
10,DWLS,2,200,-0.6261278838670115,-6.733589051403663,-11.002923368359507,-1.9192756817927592,4.1610708957275,-11.3038540644565,2.50689082587109,5.247032996249345,-14.28255382561222,-20.091882433347504
11,DWLS,2,200,-1.0115054182727596,3.5253604761923407,-0.5281849364440067,2.142459245322248,-3.639382364942989,25.33471031358,-2.50689082587111,6.09298473555268,11.561919993199734,-19.012672367124065
12,DWLS,2,200,-3.1612005345683785,1.464852910902,10.253050267324495,1.7599234208508645,-6.3268808198821604,-5.01535834647337,1.2533469508069301,10.599464918992329,20.216000354940846,-10.234548623831719
13,DWLS,2,200,-9.279780046927256,-19.261741445817993,35.430270398657484,7.8614030523959935,-18.27973652573516,2.50689082587111,3.76082876612559,35.69609578845101,24.571373804989733,-28.359145883567027
14,DWLS,2,200,6.554064042965865,11.654296440905673,-15.54260899804051,5.453003589416749,7.468554902660999,0,11.3038540644565,-5.507326472921663,-10.854894666571385,-12.856121780313275
15,DWLS,2,200,5.880738813390615,-12.181152174901825,52.333924288170984,7.456843535144738,3.4598822392051627,0,-17.6374164780861,2.4091559559706694,9.004195131195834,-25.302917815269687
16,DWLS,2,200,-14.75747548010313,-6.021681228233822,22.0641680812165,5.4989740721947395,0.2911958559786617,-2.50689082587111,-3.76082876612559,-14.484660828605001,12.62471373841112,-29.969251558041872
17,DWLS,2,200,7.850544144688499,-4.4028315129875,55.43634403473199,8.92341774058937,7.684846708114498,-2.50689082587111,-2.5068908258711002,-8.901363959566996,-17.454855351755278,-29.06436936661188
18,DWLS,2,200,8.383408277403998,-6.1781186631393314,8.578667342551,0.9848114366987487,-7.340640696098171,-1.2533469508069301,2.50689082587111,8.389687660810663,-14.21425918604917,-31.44571011251313
19,DWLS,2,200,-8.802599507359634,8.183460080141499,-15.16039105670701,4.647857705069994,-17.176261315938827,-1.2533469508069301,8.78448378958718,-4.1848151984716555,2.2877360325669462,-25.052997253596565
20,DWLS,2,200,-6.648871216199378,27.39131153875718,-43.144819722750505,4.189613561728741,7.051314356787334,-1.2533469508069301,-7.52698620998298,30.22894801269801,16.583698080179172,-17.1556562010864
21,DWLS,2,200,4.53010299551275,2.3867803207493306,-10.622804097691008,2.0196087960007434,5.690592352030011,-7.52698620998299,8.78448378958715,-9.51350865511234,19.012211705436943,-4.6774849437425035
22,DWLS,2,200,-11.398523425551629,6.629473240750676,6.8542831344809985,7.5877258893906205,-11.056487652338003,-2.50689082587111,-7.52698620998299,12.516556469021667,0.5726158593377816,-32.6687423621089
23,DWLS,2,200,3.5599689790873636,0.38118700097866665,-16.69262654935051,-10.194173560854377,-15.726448788554503,-7.52698620998299,12.566134685507398,15.343483237181008,-1.328845401391107,-19.466147342854843
24,DWLS,2,200,-2.1430303359582514,10.804181578306668,9.838400912284495,-1.5960400786941276,13.493438522802013,-1.2533469508069301,1.2533469508069301,14.608801370193012,-10.332484361760557,-15.120423414651253
25,DWLS,2,200,-9.721914819130012,-15.033898495229831,5.937139579809999,-2.8355466285481246,0.1928187761433368,1.2533469508069301,-16.3658486233141,4.104216667376334,1.9834766145080611,-31.744308962059687
26,DWLS,2,200,-13.628387124680632,-16.503234499888663,12.338973661315991,0.033243083547740415,-8.225046778510492,1.2533469508069301,-2.50689082587111,-5.3364329757673215,7.481983508920277,-9.813638539384693
